,district,total_enrollment,total_test_takers,percent_meeting_both_benchmarks,school_year_expenditure,average_daily_attendance,daily_expenditure,enrollment_k_thru_12,num_students_eligible_for_frpm,percentage_eligible_for_frpm
204,Glendora Unified,1230.0,532.0,83.0827067669173,79635072.68,6943.15,11469.58839719724,7198,2076,28.841344818005
205,Los Angeles Unified,84155.0,53343.0,25.81969518024858,7213548356.51,453121.47000000003,15919.6790134663,607723,481843,79.28661577725377
206,Alhambra Unified,3611.0,1642.0,68.94031668696711,210900295.93,15966.72,13208.742680400233,16531,10300,62.30718044885367
207,Golden Valley Unified,329.0,79.0,55.69620253164557,21014692.99,1917.59,10958.908311995787,2007,862,42.94967613353264
208,Fort Bragg Unified,262.0,70.0,58.57142857142857,23447250.64,1678.03,13973.081911527208,1883,1362,72.33138608603292
209,Soledad Unified,783.0,222.0,19.36936936936937,60495166.91,4622.05,13088.384355426704,4905,4387,89.43934760448522
210,Huntington Beach Union High,8086.0,2847.0,76.22058306989814,191539816.73,15164.13,12631.111493372848,15967,5974,37.414667752239
211,Loomis Union Elementary,132.0,38.0,63.1578947368421,23524758.93,2410.17,9760.622250712606,4371,960,21.962937542896363
212,Banning Unified,667.0,137.0,36.496350364963504,57967453.27,4244.92,13655.723375234398,4617,3969,85.96491228070175
213,Desert Sands Unified,4773.0,2752.0,27.79796511627907,328383803.36,24772.64,13255.906651854628,28610,18911,66.09926599091227
214,Fontana Unified,5766.0,3525.0,22.69503546099291,490696592.89,34877.72,14069.05591563898,36335,30689,84.46126324480528
215,San Lorenzo Valley Unified,584.0,141.0,68.08510638297872,27394860.62,2191.04,12503.131216226086,5251,1139,21.691106455913157
216,Gateway Unified,335.0,44.0,59.09090909090909,29777201.83,2116.85,14066.750988497059,2460,1788,72.6829268292683
217,Benicia Unified,847.0,274.0,78.10218978102189,47907683.29,4454.46,10754.992364955573,4662,1113,23.873873873873876
218,Fairfield-Suisun Unified,3068.0,717.0,59.41422594142259,219811559.4,20390.67,10780.006708950712,21405,12671,59.19644942770381
219,Farmersville Unified,394.0,122.0,9.836065573770492,33044278.39,2410.62,13707.792348026649,2559,2383,93.1223134036733
220,Ojai Unified,403.0,99.0,70.70707070707071,26036825.12,2269.98,11470.068071084326,2453,1232,50.224215246636774
221,Moorpark Unified,1040.0,268.0,77.98507462686567,62563919.66,5896.79,10609.826644665996,6255,2232,35.68345323741007
222,Newark Unified,930.0,262.0,57.25190839694657,66780274.76,5552.86,12026.284610092818,5758,2803,48.68009725599166
223,Pleasanton Unified,2502.0,1212.0,90.01650165016501,165366882.26,14502.94,11402.300654901695,14978,1331,8.886366671117639
224,Middletown Unified,318.0,70.0,52.857142857142854,15726039.78,1399.11,11240.031005424878,1747,906,51.86033199771036
